ID_CLIENTE,SEGMENTO_INDUSTRIAL,PORTE,ESTADO,REGIAO
1661240395903230676,Serviços,Pequeno,MA,Nordeste
8274986328479596038,Comércio,Médio,TO,Norte
345447888460137901,Serviços,Pequeno,BA,Nordeste
1003144834589372198,Serviços,Pequeno,SC,Sul
324916756972236008,Serviços,Grande,CE,Nordeste
4679462479444735708,Indústria,Grande,SP,Sudeste
1276604410881911401,Indústria,Pequeno,MG,Sudeste
8123515208041701633,Serviços,Pequeno,RJ,Sudeste
4530631557358349711,Serviços,Pequeno,PE,Nordeste
3668905663669864663,Comércio,Grande,PR,Sul
7041489327620930099,Serviços,Grande,MG,Sudeste
3118152790263512426,Serviços,Médio,RJ,Sudeste
1366416810235233769,Comércio,Grande,SP,Sudeste
4395946187332973749,Serviços,Médio,SP,Sudeste
1299146298565441811,Serviços,Médio,RJ,Sudeste
4052557282157719526,Comércio,Médio,SP,Sudeste
6795467882769787169,Serviços,Pequeno,RS,Sul
2550506309527280168,Comércio,Médio,SP,Sudeste
8724731934863284019,Serviços,Pequeno,CE,Nordeste
314309872114206760,Serviços,Grande,PR,Sul
2250817603281429928,Comércio,Grande,RS,Sul
5301988619224057921,Indústria,Médio,MS,Centro-Oeste
3248432590399829766,Comércio,Médio,SP,Sudeste
4095739077267179172,Comércio,Pequeno,RJ,Sudeste
2092588065958607289,Comércio,Grande,RO,Norte
1078687383992817574,Indústria,Grande,PA,Norte
4717593620120611957,Comércio,Grande,DF,Centro-Oeste
7970976988071755401,Comércio,Grande,AP,Norte
1683619849073499603,Comércio,Grande,SP,Sudeste
8784237149961904,Comércio,Pequeno,RJ,Sudeste
6926309382371178621,Serviços,Grande,SP,Sudeste
5753677550753111444,Serviços,Grande,PR,Sul
4524147234488547993,Comércio,Grande,DF,Centro-Oeste
4347826483121154490,Indústria,Médio,MG,Sudeste
6100972975033180377,Comércio,Grande,PR,Sul
4334472256949955221,Serviços,Grande,SC,Sul
2619109825960703851,Serviços,Grande,SP,Sudeste
2397171153213063761,Indústria,Médio,GO,Centro-Oeste
683445437387317282,Indústria,Grande,MG,Sudeste
192916471960784723,Comércio,Pequeno,RJ,Sudeste
2634859679238614382,Comércio,Grande,RJ,Sudeste
940214356651040716,Indústria,Grande,BA,Nordeste
1192891347324061812,Serviços,Médio,MG,Sudeste
8901696535927078963,Serviços,Grande,BA,Nordeste
3022528659032597047,Serviços,Médio,SP,Sudeste
7810315632865163836,Indústria,Médio,AP,Norte
6964108750473070287,Comércio,Médio,BA,Nordeste
7818340804682162328,Serviços,Médio,RJ,Sudeste
7671566034617837932,Serviços,Grande,MT,Centro-Oeste
3192341047315717823,Serviços,Médio,MG,Sudeste
162896151509189921,Serviços,Médio,AP,Norte
8729164666041467296,Serviços,Médio,BA,Nordeste
2645324649046215594,Serviços,Médio,MG,Sudeste
382095722273502031,Indústria,Pequeno,PE,Nordeste
4795152981525833467,Comércio,Grande,RJ,Sudeste
2025898153078562640,Serviços,Pequeno,MG,Sudeste
2451708306555441014,Comércio,Médio,PR,Sul
4465150716052427320,Comércio,Grande,MG,Sudeste
2088532321693492263,Serviços,Médio,MG,Sudeste
2530707686830644666,Serviços,Grande,SP,Sudeste
459290606780222306,Comércio,Pequeno,PR,Sul
4061297388883391410,Serviços,Grande,SC,Sul
8961924617442201922,Serviços,Médio,RJ,Sudeste
4661684997487171886,Indústria,Grande,ES,Sudeste
1104269683367198574,Serviços,Pequeno,MG,Sudeste
5761480994209806499,Comércio,Grande,MG,Sudeste
4556737702757145073,Serviços,Pequeno,PE,Nordeste
1368430815953333691,Indústria,Grande,PR,Sul
8915958534285799867,Comércio,Grande,AP,Norte
835441927760881602,Comércio,Grande,MT,Centro-Oeste
3218792504195936313,Serviços,Médio,RJ,Sudeste
5477900120643078645,Comércio,Pequeno,PE,Nordeste
3095686599956852697,Comércio,Médio,PR,Sul
8348574220426911086,Comércio,Pequeno,SP,Sudeste
1357573192598249600,Comércio,Médio,SP,Sudeste
5522764880180045081,Indústria,Médio,ES,Sudeste
4043546053926060305,Indústria,Médio,SP,Sudeste
8512214463586144353,Serviços,Pequeno,MG,Sudeste
837142477962609471,Serviços,Médio,PR,Sul
410843023337872279,Comércio,Médio,SP,Sudeste
